"TG-GATEs","dose","dose_unit","time","time_unit","parameter","parameter_type","value","value_unit","outcome","source"
"2,4-dinitrophenol",6,"mg/kg",4,"day","Liver","Weight",5.56,"Relative weight",0,"TG-GATEs"
"2,4-dinitrophenol",20,"mg/kg",4,"day","Liver","Weight",5.34,"Relative weight",0,"TG-GATEs"
"2,4-dinitrophenol",60,"mg/kg",4,"day","Liver","Weight",5.35,"Relative weight",0,"TG-GATEs"
"WY-14643",10,"mg/kg",4,"day","Liver","Weight",6.76,"Relative weight",1,"TG-GATEs"
"WY-14643",30,"mg/kg",4,"day","Liver","Weight",7.15,"Relative weight",1,"TG-GATEs"
"WY-14643",100,"mg/kg",4,"day","Liver","Weight",7.61,"Relative weight",1,"TG-GATEs"
"acarbose",100,"mg/kg",4,"day","Liver","Weight",5.32,"Relative weight",0,"TG-GATEs"
"acarbose",300,"mg/kg",4,"day","Liver","Weight",5.25,"Relative weight",0,"TG-GATEs"
"acarbose",1000,"mg/kg",4,"day","Liver","Weight",5.1,"Relative weight",0,"TG-GATEs"
"acetamide",300,"mg/kg",4,"day","Liver","Weight",4.89,"Relative weight",0,"TG-GATEs"
"acetamide",1000,"mg/kg",4,"day","Liver","Weight",4.8,"Relative weight",0,"TG-GATEs"
"acetamide",2000,"mg/kg",4,"day","Liver","Weight",4.64,"Relative weight",1,"TG-GATEs"
"acetamidofluorene",30,"mg/kg",4,"day","Liver","Weight",4.72,"Relative weight",1,"TG-GATEs"
"acetamidofluorene",100,"mg/kg",4,"day","Liver","Weight",4.1,"Relative weight",1,"TG-GATEs"
"acetamidofluorene",300,"mg/kg",4,"day","Liver","Weight",4.32,"Relative weight",1,"TG-GATEs"
"acetaminophen",300,"mg/kg",4,"day","Liver","Weight",5.5,"Relative weight",0,"TG-GATEs"
"acetaminophen",600,"mg/kg",4,"day","Liver","Weight",5.44,"Relative weight",0,"TG-GATEs"
"acetaminophen",1000,"mg/kg",4,"day","Liver","Weight",5.59,"Relative weight",1,"TG-GATEs"
"acetazolamide",60,"mg/kg",4,"day","Liver","Weight",5.03,"Relative weight",0,"TG-GATEs"
"acetazolamide",200,"mg/kg",4,"day","Liver","Weight",4.86,"Relative weight",0,"TG-GATEs"
"acetazolamide",600,"mg/kg",4,"day","Liver","Weight",4.11,"Relative weight",1,"TG-GATEs"
"adapin",10,"mg/kg",4,"day","Liver","Weight",5.09,"Relative weight",0,"TG-GATEs"
"adapin",30,"mg/kg",4,"day","Liver","Weight",5.06,"Relative weight",0,"TG-GATEs"
"adapin",100,"mg/kg",4,"day","Liver","Weight",4.61,"Relative weight",1,"TG-GATEs"
"ajmaline",30,"mg/kg",4,"day","Liver","Weight",5.15,"Relative weight",0,"TG-GATEs"
"ajmaline",100,"mg/kg",4,"day","Liver","Weight",4.68,"Relative weight",1,"TG-GATEs"
"ajmaline",300,"mg/kg",4,"day","Liver","Weight",5.05,"Relative weight",0,"TG-GATEs"
"allyl alcohol",3,"mg/kg",4,"day","Liver","Weight",5.19,"Relative weight",0,"TG-GATEs"
"allyl alcohol",10,"mg/kg",4,"day","Liver","Weight",5.15,"Relative weight",0,"TG-GATEs"
"allyl alcohol",30,"mg/kg",4,"day","Liver","Weight",5.25,"Relative weight",0,"TG-GATEs"
"amiodarone",20,"mg/kg",4,"day","Liver","Weight",5.15,"Relative weight",0,"TG-GATEs"
"amiodarone",60,"mg/kg",4,"day","Liver","Weight",5.21,"Relative weight",0,"TG-GATEs"
"amiodarone",200,"mg/kg",4,"day","Liver","Weight",4.5,"Relative weight",1,"TG-GATEs"
"amitriptyline",15,"mg/kg",4,"day","Liver","Weight",5.05,"Relative weight",0,"TG-GATEs"
"amitriptyline",50,"mg/kg",4,"day","Liver","Weight",4.87,"Relative weight",0,"TG-GATEs"
"amitriptyline",150,"mg/kg",4,"day","Liver","Weight",4.63,"Relative weight",1,"TG-GATEs"
"aspirin",45,"mg/kg",4,"day","Liver","Weight",5.41,"Relative weight",0,"TG-GATEs"
"aspirin",150,"mg/kg",4,"day","Liver","Weight",5.44,"Relative weight",0,"TG-GATEs"
"aspirin",450,"mg/kg",4,"day","Liver","Weight",5.74,"Relative weight",1,"TG-GATEs"
"bendazac",30,"mg/kg",4,"day","Liver","Weight",5.46,"Relative weight",0,"TG-GATEs"
"bendazac",100,"mg/kg",4,"day","Liver","Weight",5.51,"Relative weight",0,"TG-GATEs"
"bendazac",300,"mg/kg",4,"day","Liver","Weight",6.36,"Relative weight",1,"TG-GATEs"
"benzbromarone",20,"mg/kg",4,"day","Liver","Weight",5.72,"Relative weight",1,"TG-GATEs"
"benzbromarone",60,"mg/kg",4,"day","Liver","Weight",6.15,"Relative weight",1,"TG-GATEs"
"benzbromarone",200,"mg/kg",4,"day","Liver","Weight",7.36,"Relative weight",1,"TG-GATEs"
"benziodarone",30,"mg/kg",4,"day","Liver","Weight",5.58,"Relative weight",1,"TG-GATEs"
"benziodarone",100,"mg/kg",4,"day","Liver","Weight",6.29,"Relative weight",1,"TG-GATEs"
"benziodarone",300,"mg/kg",4,"day","Liver","Weight",6.94,"Relative weight",1,"TG-GATEs"
